Australian Bureau of Statistics,,,,,,,,,,,
,,,,,,,,,,,
"2021 Census - employment, income and education",,,,,,,,,,,
INCP Total Personal Income (weekly) by LGA (UR),,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,
,,,,,,,,,,,
LGA (UR),Blacktown,Blue Mountains,Camden,Campbelltown (NSW),Fairfield,Hawkesbury,Liverpool,Parramatta,Penrith,Wollondilly,Total
INCP Total Personal Income (weekly),,,,,,,,,,,
<0,2730,296,615,1348,2412,434,2093,1183,1401,353,12862
0,35116,4954,7982,14792,22098,4154,21245,23546,14822,3424,152126
149,8118,2329,2448,3734,5066,1583,5534,6076,4772,1295,40960
299,13447,3033,3354,6938,12754,2249,10355,8783,7145,1691,69747
399,20786,4588,5190,11168,22101,3674,15878,12674,11660,2951,110674
499,19448,5187,4701,10352,16826,3900,13196,12218,11371,2734,99935
649,18826,5154,5592,9686,13312,4024,12098,12542,11398,2960,95593
799,19971,4764,5748,9995,11805,4037,12281,12855,11711,3072,96233
999,25768,4813,7503,12590,13298,4689,14822,15815,15099,3484,117883
1249,30755,5553,9461,13906,12896,5394,16652,19185,18055,4047,135908
1499,23625,4260,7890,10179,8284,4142,12563,15407,14047,3226,103609
1749,19237,3936,7000,7858,6224,3662,10048,13973,11726,2829,86491
1999,13932,3317,5313,5335,3945,2874,7039,10769,8338,2147,63004
2999,23702,6200,8776,7402,4985,4168,10274,21187,12527,3725,102953
3499,4686,1211,1597,1199,881,790,1811,4621,2120,707,19621
High,4805,1830,1951,1323,993,1153,2133,6044,2342,989,23561
Total,284952,61425,85121,127805,157880,50927,168022,196878,158534,39634,1331160
,,,,,,,,,,,
,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,
